"","Place","Region","Confirmed","newConfirmed","Deaths","newDeaths","Est.Recovered","Est.Active","Last Update","Recovered","Active"
"","Cambodia","Cambodia","95,300","461","1,957","7","90,684","2,659","2021-09-05 12:00:00","90,684","2,659"
"","Mainland China","Mainland China","95,010","28","4,636","0","89,746","628","2021-09-05 07:00:00","0","90,374"
"","Rwanda","Rwanda","89,172","0","1,112","0","79,524","8,536","2021-09-05 12:00:00","76,084","11,976"
"","Cameroon","Cameroon","84,210","0","1,357","0","81,013","1,840","2021-09-05 12:00:00","80,433","2,420"
"","Maldives","Maldives","81,810","0","226","0","79,569","2,015","2021-09-05 12:00:00","79,569","2,015"
"","Luxembourg","Luxembourg","76,102","0","830","0","74,161","1,111","2021-09-05 12:00:00","74,161","1,111"
"","Senegal","Senegal","72,977","0","1,780","0","68,805","2,392","2021-09-05 12:00:00","62,770","8,427"
"","Jamaica","Jamaica","70,657","0","1,593","0","58,763","10,301","2021-09-05 12:00:00","48,691","20,373"
"","Singapore","Singapore","68,469","0","55","0","66,512","1,902","2021-09-05 12:00:00","66,512","1,902"
"","Australia","Australia","61,609","1,658","1,039","3","41,355","19,215","2021-09-05 12:00:00","",""
"","Malawi","Malawi","60,803","75","2,206","3","56,197","2,400","2021-09-05 12:00:00","49,025","9,572"
"","Cote d'Ivoire","Cote d'Ivoire","56,521","0","451","0","54,154","1,916","2021-09-05 12:00:00","54,154","1,916"
"","Democratic Republic of the Congo","Democratic Republic of the Congo","55,307","0","1,061","0","52,357","1,889","2021-09-05 12:00:00","30,858","23,388"
"","Reunion","Reunion","50,346","0","342","0","44,893","5,111","2021-09-05 12:00:00","7,729","42,275"
"","Angola","Angola","48,475","0","1,258","0","44,156","3,061","2021-09-05 12:00:00","43,817","3,400"
"","Fiji","Fiji","47,865","156","508","0","41,108","6,249","2021-09-05 12:00:00","31,041","16,316"
"","Trinidad and Tobago","Trinidad and Tobago","45,487","0","1,325","0","40,975","3,187","2021-09-05 12:00:00","40,265","3,897"
"","Guadeloupe","Guadeloupe","45,393","0","508","0","31,927","12,958","2021-09-05 12:00:00","2,242","42,643"
"","eSwatini","eSwatini","44,134","0","1,144","0","37,661","5,329","2021-09-05 12:00:00","37,661","5,329"
"","Madagascar","Madagascar","42,873","0","956","0","41,858","59","2021-09-05 12:00:00","41,283","634"
"","French Polynesia","French Polynesia","42,109","0","463","0","33,106","8,540","2021-09-05 12:00:00","21,469","20,177"
"","Martinique","Martinique","37,985","0","477","0","30,710","6,798","2021-09-05 12:00:00","98","37,410"
"","Sudan","Sudan","37,886","0","2,837","0","34,707","342","2021-09-05 12:00:00","31,675","3,374"
"","Malta","Malta","36,475","49","444","2","35,094","937","2021-09-05 12:00:00","34,912","1,119"
"","Cabo Verde","Cabo Verde","35,856","117","315","0","34,551","990","2021-09-05 12:00:00","34,551","990"
"","French Guiana","French Guiana","35,309","0","220","0","32,180","2,909","2021-09-05 12:00:00","9,995","25,094"
"","Mauritania","Mauritania","34,111","122","733","3","31,386","1,992","2021-09-05 12:00:00","31,386","1,992"
"","Suriname","Suriname","30,525","0","735","0","26,315","3,475","2021-09-05 12:00:00","24,829","4,961"
"","Guinea","Guinea","29,742","0","346","0","27,714","1,682","2021-09-05 12:00:00","27,515","1,881"
"","Syria","Syria","28,045","0","2,018","0","24,627","1,400","2021-09-05 12:00:00","22,451","3,576"
"","Guyana","Guyana","25,951","0","632","0","23,338","1,981","2021-09-05 12:00:00","23,338","1,981"
"","Gabon","Gabon","25,888","0","165","0","25,625","98","2021-09-05 12:00:00","25,625","98"
"","Togo","Togo","22,444","210","194","1","18,709","3,541","2021-09-05 12:00:00","17,553","4,697"
"","Haiti","Haiti","20,977","0","586","0","20,036","355","2021-09-05 12:00:00","18,294","2,097"
"","Seychelles","Seychelles","20,230","0","105","0","19,500","625","2021-09-05 12:00:00","19,500","625"
"","Mayotte","Mayotte","19,875","0","175","0","19,458","242","2021-09-05 12:00:00","2,964","16,736"
"","Bahamas","Bahamas","18,576","0","412","0","16,143","2,021","2021-09-05 12:00:00","14,819","3,345"
"","Papua New Guinea","Papua New Guinea","18,228","0","192","0","17,664","372","2021-09-05 12:00:00","17,547","489"
"","Somalia","Somalia","17,563","0","984","0","15,372","1,207","2021-09-05 12:00:00","8,531","8,048"
"","Timor-Leste","Timor-Leste","17,379","0","74","0","12,934","4,371","2021-09-05 12:00:00","12,629","4,676"
"","Tajikistan","Tajikistan","17,313","0","125","0","16,805","383","2021-09-05 12:00:00","16,805","383"
"","Benin","Benin","16,946","0","135","0","11,890","4,921","2021-09-05 12:00:00","11,890","4,921"
"","Belize","Belize","16,750","0","363","0","15,161","1,226","2021-09-05 12:00:00","15,161","1,226"
"","Taiwan","Taiwan","16,019","6","837","0","15,051","131","2021-09-05 12:00:00","",""
"","Laos","Laos","15,605","0","15","0","11,250","4,340","2021-09-05 12:00:00","8,687","6,903"
"","Curacao","Curacao","15,413","0","148","0","14,900","365","2021-09-05 12:00:00","14,900","365"
"","Andorra","Andorra","15,055","0","130","0","14,874","51","2021-09-05 12:00:00","14,874","51"
"","Mali","Mali","14,930","0","541","0","14,189","200","2021-09-05 12:00:00","14,130","259"
"","Aruba","Aruba","14,812","0","150","0","14,137","525","2021-09-05 12:00:00","14,137","525"
"","Lesotho","Lesotho","14,395","0","403","0","13,781","211","2021-09-05 12:00:00","6,830","7,162"
"","Burkina Faso","Burkina Faso","13,841","14","171","0","13,570","100","2021-09-05 12:00:00","13,570","100"
